date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:53	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b650507-10f%22	https://berkahkaca.neocities.org/robots.txt		(from )
11:03:53	96024/96024	---MCZ	200	added ('OK')	text/html	etag:W/%225b650b77-17718%22	https://berkahkaca.neocities.org/	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/index.html	(from )
11:03:54	8806/8806	---M--	200	added ('OK')	image/jpeg	etag:%225b650712-2266%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.jpg	(from https://berkahkaca.neocities.org/)
11:03:55	8659/8659	---M--	200	added ('OK')	image/jpeg	etag:%225b650710-21d3%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.jpg	(from https://berkahkaca.neocities.org/)
11:03:56	13216/13216	---M--	200	added ('OK')	image/jpeg	etag:%225b650719-33a0%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.jpg	(from https://berkahkaca.neocities.org/)
11:03:57	10427/10427	---M--	200	added ('OK')	image/jpeg	etag:%225b650711-28bb%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.jpg	(from https://berkahkaca.neocities.org/)
11:03:58	21252/21252	---M--	200	added ('OK')	image/jpeg	etag:%225b650715-5304%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kanopi-Kaca-nlgp8cwrwqmh7329p7y7mz9hvwwnkhxmkw3nwcdcg4.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kanopi-Kaca-nlgp8cwrwqmh7329p7y7mz9hvwwnkhxmkw3nwcdcg4.jpg	(from https://berkahkaca.neocities.org/)
11:03:59	7625/7625	---M--	200	added ('OK')	image/jpeg	etag:%225b650717-1dc9%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kubikel-Toilet-nlgp8r0cr95s18hsew1m6dpesoz5ryhlmtvy3hsfus.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Kubikel-Toilet-nlgp8r0cr95s18hsew1m6dpesoz5ryhlmtvy3hsfus.jpg	(from https://berkahkaca.neocities.org/)
11:04:00	11409/11409	---M--	200	added ('OK')	image/jpeg	etag:%225b650717-2c91%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Maintenance-Kaca-nlgp9bosxly34nnr24zep8hjv658harp1o8mnkxs1w.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Maintenance-Kaca-nlgp9bosxly34nnr24zep8hjv658harp1o8mnkxs1w.jpg	(from https://berkahkaca.neocities.org/)
11:04:00	14284/14284	---M--	200	added ('OK')	image/jpeg	etag:%225b650719-37cc%22	https://berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Pintu-Kaca-nlgp9tjqjgmj98xt5upbilzb5hp7jjqlg4muru7aro.jpg	E:/c/HTML/berkahkaca.neocities.org/berkahkaca.neocities.org/wp-content/uploads/elementor/thumbs/Pintu-Kaca-nlgp9tjqjgmj98xt5upbilzb5hp7jjqlg4muru7aro.jpg	(from https://berkahkaca.neocities.org/)
